year,domain,category,state,factor,n
2009,economic,teens not attending school,Alabama,pct,10
2010,economic,teens not attending school,Alabama,pct,11
2011,economic,teens not attending school,Alabama,pct,10
2012,economic,teens not attending school,Alabama,pct,10
2008,economic,teens not attending school,Alabama,rank,39
2009,economic,teens not attending school,Alabama,rank,33
2010,economic,teens not attending school,Alabama,rank,38
2011,economic,teens not attending school,Alabama,rank,38
2012,economic,teens not attending school,Alabama,rank,39
2008,economic,spend >30% on housing,Alaska,count,57000
2009,economic,spend >30% on housing,Alaska,count,62000
2010,economic,spend >30% on housing,Alaska,count,58000
2011,economic,spend >30% on housing,Alaska,count,61000
2012,economic,spend >30% on housing,Alaska,count,64000
2008,economic,spend >30% on housing,Alaska,pct,32
2009,economic,spend >30% on housing,Alaska,pct,34
2010,economic,spend >30% on housing,Alaska,pct,31
2011,economic,spend >30% on housing,Alaska,pct,32
2012,economic,spend >30% on housing,Alaska,pct,34
2008,economic,spend >30% on housing,Alaska,rank,18
2009,economic,spend >30% on housing,Alaska,rank,17
2010,economic,spend >30% on housing,Alaska,rank,9
2011,economic,spend >30% on housing,Alaska,rank,11
2012,economic,spend >30% on housing,Alaska,rank,23
2008,economic,children in poverty,Alaska,count,20000
2009,economic,children in poverty,Alaska,count,23000
2010,economic,children in poverty,Alaska,count,24000
2011,economic,children in poverty,Alaska,count,27000
2012,economic,children in poverty,Alaska,count,26000
2008,economic,children in poverty,Alaska,pct,11
2009,economic,children in poverty,Alaska,pct,13
2010,economic,children in poverty,Alaska,pct,13
2011,economic,children in poverty,Alaska,pct,15
2012,economic,children in poverty,Alaska,pct,14
2008,economic,children in poverty,Alaska,rank,4
2009,economic,children in poverty,Alaska,rank,5
2010,economic,children in poverty,Alaska,rank,2
2011,economic,children in poverty,Alaska,rank,3
2012,economic,children in poverty,Alaska,rank,2
2008,economic,parents without full-time employment,Alaska,count,62000
2009,economic,parents without full-time employment,Alaska,count,67000
2010,economic,parents without full-time employment,Alaska,count,65000
2011,economic,parents without full-time employment,Alaska,count,62000
2012,economic,parents without full-time employment,Alaska,count,68000
2008,economic,parents without full-time employment,Alaska,pct,34
2009,economic,parents without full-time employment,Alaska,pct,36
2010,economic,parents without full-time employment,Alaska,pct,35
2011,economic,parents without full-time employment,Alaska,pct,33
2012,economic,parents without full-time employment,Alaska,pct,36
2008,economic,parents without full-time employment,Alaska,rank,49
2009,economic,parents without full-time employment,Alaska,rank,47
2010,economic,parents without full-time employment,Alaska,rank,35
2011,economic,parents without full-time employment,Alaska,rank,28
2012,economic,parents without full-time employment,Alaska,rank,46
2008,economic,teens not attending school,Alaska,count,5000
2009,economic,teens not attending school,Alaska,count,5000
2010,economic,teens not attending school,Alaska,count,5000
2011,economic,teens not attending school,Alaska,count,4000
2012,economic,teens not attending school,Alaska,count,4000
2008,economic,teens not attending school,Alaska,pct,11
2009,economic,teens not attending school,Alaska,pct,12
2010,economic,teens not attending school,Alaska,pct,11
2011,economic,teens not attending school,Alaska,pct,10
2012,economic,teens not attending school,Alaska,pct,10
2008,economic,teens not attending school,Alaska,rank,45
2009,economic,teens not attending school,Alaska,rank,45
2010,economic,teens not attending school,Alaska,rank,38
2011,economic,teens not attending school,Alaska,rank,38
2012,economic,teens not attending school,Alaska,rank,39
2008,economic,spend >30% on housing,Arizona,count,748000
2009,economic,spend >30% on housing,Arizona,count,741000
2010,economic,spend >30% on housing,Arizona,count,700000
2011,economic,spend >30% on housing,Arizona,count,664000
2012,economic,spend >30% on housing,Arizona,count,618000
2008,economic,spend >30% on housing,Arizona,pct,44
2009,economic,spend >30% on housing,Arizona,pct,43
2010,economic,spend >30% on housing,Arizona,pct,43
2011,economic,spend >30% on housing,Arizona,pct,41
2012,economic,spend >30% on housing,Arizona,pct,38
2008,economic,spend >30% on housing,Arizona,rank,43
2009,economic,spend >30% on housing,Arizona,rank,42
2010,economic,spend >30% on housing,Arizona,rank,40
2011,economic,spend >30% on housing,Arizona,rank,37
2012,economic,spend >30% on housing,Arizona,rank,37
2008,economic,children in poverty,Arizona,count,349000
2009,economic,children in poverty,Arizona,count,398000
2010,economic,children in poverty,Arizona,count,392000
2011,economic,children in poverty,Arizona,count,435000
2012,economic,children in poverty,Arizona,count,429000
2008,economic,children in poverty,Arizona,pct,21
2009,economic,children in poverty,Arizona,pct,23
2010,economic,children in poverty,Arizona,pct,24
2011,economic,children in poverty,Arizona,pct,27
2012,economic,children in poverty,Arizona,pct,27
2008,economic,children in poverty,Arizona,rank,38
2009,economic,children in poverty,Arizona,rank,38
2010,economic,children in poverty,Arizona,rank,37
2011,economic,children in poverty,Arizona,rank,42
2012,economic,children in poverty,Arizona,rank,42
2008,economic,parents without full-time employment,Arizona,count,493000
2009,economic,parents without full-time employment,Arizona,count,583000
2010,economic,parents without full-time employment,Arizona,count,570000
2011,economic,parents without full-time employment,Arizona,count,560000
2012,economic,parents without full-time employment,Arizona,count,556000
2008,economic,parents without full-time employment,Arizona,pct,29
2009,economic,parents without full-time employment,Arizona,pct,34
2010,economic,parents without full-time employment,Arizona,pct,35
2011,economic,parents without full-time employment,Arizona,pct,35
2012,economic,parents without full-time employment,Arizona,pct,34
2008,economic,parents without full-time employment,Arizona,rank,33
2009,economic,parents without full-time employment,Arizona,rank,38
2010,economic,parents without full-time employment,Arizona,rank,35
2011,economic,parents without full-time employment,Arizona,rank,37
2012,economic,parents without full-time employment,Arizona,rank,37
2008,economic,teens not attending school,Arizona,count,38000
2009,economic,teens not attending school,Arizona,count,40000
2010,economic,teens not attending school,Arizona,count,45000
2011,economic,teens not attending school,Arizona,count,41000
2012,economic,teens not attending school,Arizona,count,38000
2008,economic,teens not attending school,Arizona,pct,11
2009,economic,teens not attending school,Arizona,pct,11
2010,economic,teens not attending school,Arizona,pct,12
2011,economic,teens not attending school,Arizona,pct,11
2012,economic,teens not attending school,Arizona,pct,11
2008,economic,teens not attending school,Arizona,rank,45
2009,economic,teens not attending school,Arizona,rank,40
2010,economic,teens not attending school,Arizona,rank,42
2011,economic,teens not attending school,Arizona,rank,42
2012,economic,teens not attending school,Arizona,rank,45
2008,economic,spend >30% on housing,Arkansas,count,219000
2009,economic,spend >30% on housing,Arkansas,count,229000
2010,economic,spend >30% on housing,Arkansas,count,229000
2011,economic,spend >30% on housing,Arkansas,count,225000
2012,economic,spend >30% on housing,Arkansas,count,215000
2008,economic,spend >30% on housing,Arkansas,pct,31
2009,economic,spend >30% on housing,Arkansas,pct,32
2010,economic,spend >30% on housing,Arkansas,pct,32
2011,economic,spend >30% on housing,Arkansas,pct,32
2012,economic,spend >30% on housing,Arkansas,pct,30
2008,economic,spend >30% on housing,Arkansas,rank,13
2009,economic,spend >30% on housing,Arkansas,rank,13
2010,economic,spend >30% on housing,Arkansas,rank,10
2011,economic,spend >30% on housing,Arkansas,rank,11
2012,economic,spend >30% on housing,Arkansas,rank,12
2008,economic,children in poverty,Arkansas,count,172000
2009,economic,children in poverty,Arkansas,count,189000
2010,economic,children in poverty,Arkansas,count,193000
2011,economic,children in poverty,Arkansas,count,197000
2012,economic,children in poverty,Arkansas,count,200000
2008,economic,children in poverty,Arkansas,pct,25
2009,economic,children in poverty,Arkansas,pct,27
2010,economic,children in poverty,Arkansas,pct,28
2011,economic,children in poverty,Arkansas,pct,28
2012,economic,children in poverty,Arkansas,pct,29
2008,economic,children in poverty,Arkansas,rank,48
2009,economic,children in poverty,Arkansas,rank,49
2010,economic,children in poverty,Arkansas,rank,47
2011,economic,children in poverty,Arkansas,rank,45
2012,economic,children in poverty,Arkansas,rank,48
2008,economic,parents without full-time employment,Arkansas,count,223000
2009,economic,parents without full-time employment,Arkansas,count,241000
2010,economic,parents without full-time employment,Arkansas,count,253000
2011,economic,parents without full-time employment,Arkansas,count,253000
2012,economic,parents without full-time employment,Arkansas,count,236000
2008,economic,parents without full-time employment,Arkansas,pct,32
2009,economic,parents without full-time employment,Arkansas,pct,34
2010,economic,parents without full-time employment,Arkansas,pct,36
2011,economic,parents without full-time employment,Arkansas,pct,36
2012,economic,parents without full-time employment,Arkansas,pct,33
2008,economic,parents without full-time employment,Arkansas,rank,45
2009,economic,parents without full-time employment,Arkansas,rank,38
2010,economic,parents without full-time employment,Arkansas,rank,38
2011,economic,parents without full-time employment,Arkansas,rank,45
2012,economic,parents without full-time employment,Arkansas,rank,31
2008,economic,teens not attending school,Arkansas,count,20000
2009,economic,teens not attending school,Arkansas,count,16000
2010,economic,teens not attending school,Arkansas,count,21000
2011,economic,teens not attending school,Arkansas,count,16000
2012,economic,teens not attending school,Arkansas,count,17000
2008,economic,teens not attending school,Arkansas,pct,12
2009,economic,teens not attending school,Arkansas,pct,10
2010,economic,teens not attending school,Arkansas,pct,12
2011,economic,teens not attending school,Arkansas,pct,10
2012,economic,teens not attending school,Arkansas,pct,11
2008,economic,teens not attending school,Arkansas,rank,50
2009,economic,teens not attending school,Arkansas,rank,33
2010,economic,teens not attending school,Arkansas,rank,42
2011,economic,teens not attending school,Arkansas,rank,38
2012,economic,teens not attending school,Arkansas,rank,45
2008,economic,spend >30% on housing,California,count,5130000
2009,economic,spend >30% on housing,California,count,5121000
2010,economic,spend >30% on housing,California,count,5016000
2011,economic,spend >30% on housing,California,count,4820000
2012,economic,spend >30% on housing,California,count,4706000
2008,economic,spend >30% on housing,California,pct,55
2009,economic,spend >30% on housing,California,pct,54
2010,economic,spend >30% on housing,California,pct,54
2011,economic,spend >30% on housing,California,pct,52
2012,economic,spend >30% on housing,California,pct,51
2008,economic,spend >30% on housing,California,rank,50
2009,economic,spend >30% on housing,California,rank,50
2010,economic,spend >30% on housing,California,rank,50
2011,economic,spend >30% on housing,California,rank,50
2012,economic,spend >30% on housing,California,rank,50
2008,economic,children in poverty,California,count,1701000
2009,economic,children in poverty,California,count,1847000
2010,economic,children in poverty,California,count,2013000
2011,economic,children in poverty,California,count,2085000
2012,economic,children in poverty,California,count,2167000
2008,economic,children in poverty,California,pct,18
2009,economic,children in poverty,California,pct,20
2010,economic,children in poverty,California,pct,22
2011,economic,children in poverty,California,pct,23
2012,economic,children in poverty,California,pct,24
2008,economic,children in poverty,California,rank,27
2009,economic,children in poverty,California,rank,29
2010,economic,children in poverty,California,rank,30
2011,economic,children in poverty,California,rank,30
2012,economic,children in poverty,California,rank,32
2008,economic,parents without full-time employment,California,count,2807000
2009,economic,parents without full-time employment,California,count,3219000
2010,economic,parents without full-time employment,California,count,3345000
2011,economic,parents without full-time employment,California,count,3314000
2012,economic,parents without full-time employment,California,count,3228000
2008,economic,parents without full-time employment,California,pct,30
2009,economic,parents without full-time employment,California,pct,34
2010,economic,parents without full-time employment,California,pct,36
2011,economic,parents without full-time employment,California,pct,36
2012,economic,parents without full-time employment,California,pct,35
2008,economic,parents without full-time employment,California,rank,38
2009,economic,parents without full-time employment,California,rank,38
2010,economic,parents without full-time employment,California,rank,38
2011,economic,parents without full-time employment,California,rank,45
2012,economic,parents without full-time employment,California,rank,43
2008,economic,teens not attending school,California,count,187000
2009,economic,teens not attending school,California,count,180000
2010,economic,teens not attending school,California,count,192000
2011,economic,teens not attending school,California,count,193000
2012,economic,teens not attending school,California,count,175000
2008,economic,teens not attending school,California,pct,8
2009,economic,teens not attending school,California,pct,8
2010,economic,teens not attending school,California,pct,8
2011,economic,teens not attending school,California,pct,9
2012,economic,teens not attending school,California,pct,8
2008,economic,teens not attending school,California,rank,21
2009,economic,teens not attending school,California,rank,16
2010,economic,teens not attending school,California,rank,16
2011,economic,teens not attending school,California,rank,28
2012,economic,teens not attending school,California,rank,19
2008,economic,spend >30% on housing,Colorado,count,463000
2009,economic,spend >30% on housing,Colorado,count,469000
2010,economic,spend >30% on housing,Colorado,count,481000
2011,economic,spend >30% on housing,Colorado,count,461000
2012,economic,spend >30% on housing,Colorado,count,441000
2008,economic,spend >30% on housing,Colorado,pct,38
2009,economic,spend >30% on housing,Colorado,pct,38
2010,economic,spend >30% on housing,Colorado,pct,39
2011,economic,spend >30% on housing,Colorado,pct,38
2012,economic,spend >30% on housing,Colorado,pct,36
2008,economic,spend >30% on housing,Colorado,rank,31
2009,economic,spend >30% on housing,Colorado,rank,30
2010,economic,spend >30% on housing,Colorado,rank,31
2011,economic,spend >30% on housing,Colorado,rank,32
2012,economic,spend >30% on housing,Colorado,rank,31
2008,economic,children in poverty,Colorado,count,179000
2009,economic,children in poverty,Colorado,count,210000
2010,economic,children in poverty,Colorado,count,211000
2011,economic,children in poverty,Colorado,count,217000
2012,economic,children in poverty,Colorado,count,224000
2008,economic,children in poverty,Colorado,pct,15
2009,economic,children in poverty,Colorado,pct,17
2010,economic,children in poverty,Colorado,pct,17
2011,economic,children in poverty,Colorado,pct,18
2012,economic,children in poverty,Colorado,pct,18
2008,economic,children in poverty,Colorado,rank,18
2009,economic,children in poverty,Colorado,rank,18
2010,economic,children in poverty,Colorado,rank,14
2011,economic,children in poverty,Colorado,rank,16
2012,economic,children in poverty,Colorado,rank,17
2008,economic,parents without full-time employment,Colorado,count,293000
2009,economic,parents without full-time employment,Colorado,count,340000
2010,economic,parents without full-time employment,Colorado,count,356000
2011,economic,parents without full-time employment,Colorado,count,362000
2012,economic,parents without full-time employment,Colorado,count,344000
2008,economic,parents without full-time employment,Colorado,pct,24
2009,economic,parents without full-time employment,Colorado,pct,28
2010,economic,parents without full-time employment,Colorado,pct,29
2011,economic,parents without full-time employment,Colorado,pct,29
2012,economic,parents without full-time employment,Colorado,pct,28
2008,economic,parents without full-time employment,Colorado,rank,14
2009,economic,parents without full-time employment,Colorado,rank,15
2010,economic,parents without full-time employment,Colorado,rank,14
2011,economic,parents without full-time employment,Colorado,rank,14
2012,economic,parents without full-time employment,Colorado,rank,13
2008,economic,teens not attending school,Colorado,count,20000
2009,economic,teens not attending school,Colorado,count,23000
2010,economic,teens not attending school,Colorado,count,20000
2011,economic,teens not attending school,Colorado,count,21000
2012,economic,teens not attending school,Colorado,count,21000
2008,economic,teens not attending school,Colorado,pct,8
2009,economic,teens not attending school,Colorado,pct,8
2010,economic,teens not attending school,Colorado,pct,7
2011,economic,teens not attending school,Colorado,pct,8
2012,economic,teens not attending school,Colorado,pct,8
2008,economic,teens not attending school,Colorado,rank,21
2009,economic,teens not attending school,Colorado,rank,16
2010,economic,teens not attending school,Colorado,rank,11
2011,economic,teens not attending school,Colorado,rank,20
2012,economic,teens not attending school,Colorado,rank,19
2008,economic,spend >30% on housing,Connecticut,count,343000
2009,economic,spend >30% on housing,Connecticut,count,331000
2010,economic,spend >30% on housing,Connecticut,count,348000
2011,economic,spend >30% on housing,Connecticut,count,351000
2012,economic,spend >30% on housing,Connecticut,count,325000
2008,economic,spend >30% on housing,Connecticut,pct,42
2009,economic,spend >30% on housing,Connecticut,pct,41
2010,economic,spend >30% on housing,Connecticut,pct,43
2011,economic,spend >30% on housing,Connecticut,pct,44
2012,economic,spend >30% on housing,Connecticut,pct,41
2008,economic,spend >30% on housing,Connecticut,rank,40
2009,economic,spend >30% on housing,Connecticut,rank,36
2010,economic,spend >30% on housing,Connecticut,rank,40
2011,economic,spend >30% on housing,Connecticut,rank,43
2012,economic,spend >30% on housing,Connecticut,rank,43
2008,economic,children in poverty,Connecticut,count,100000
2009,economic,children in poverty,Connecticut,count,97000
2010,economic,children in poverty,Connecticut,count,103000
2011,economic,children in poverty,Connecticut,count,119000
2012,economic,children in poverty,Connecticut,count,117000
2008,economic,children in poverty,Connecticut,pct,12
2009,economic,children in poverty,Connecticut,pct,12
2010,economic,children in poverty,Connecticut,pct,13
2011,economic,children in poverty,Connecticut,pct,15
2012,economic,children in poverty,Connecticut,pct,15
2008,economic,children in poverty,Connecticut,rank,7
2009,economic,children in poverty,Connecticut,rank,2
2010,economic,children in poverty,Connecticut,rank,2
2011,economic,children in poverty,Connecticut,rank,3
2012,economic,children in poverty,Connecticut,rank,4
2008,economic,parents without full-time employment,Connecticut,count,195000
2009,economic,parents without full-time employment,Connecticut,count,207000
2010,economic,parents without full-time employment,Connecticut,count,228000
2011,economic,parents without full-time employment,Connecticut,count,221000
2012,economic,parents without full-time employment,Connecticut,count,223000
2008,economic,parents without full-time employment,Connecticut,pct,24
2009,economic,parents without full-time employment,Connecticut,pct,26
2010,economic,parents without full-time employment,Connecticut,pct,28
2011,economic,parents without full-time employment,Connecticut,pct,28
2012,economic,parents without full-time employment,Connecticut,pct,28
2008,economic,parents without full-time employment,Connecticut,rank,14
2009,economic,parents without full-time employment,Connecticut,rank,13
2010,economic,parents without full-time employment,Connecticut,rank,13
2011,economic,parents without full-time employment,Connecticut,rank,13
2012,economic,parents without full-time employment,Connecticut,rank,13
2008,economic,teens not attending school,Connecticut,count,12000
2009,economic,teens not attending school,Connecticut,count,12000
2010,economic,teens not attending school,Connecticut,count,11000
2011,economic,teens not attending school,Connecticut,count,14000
2012,economic,teens not attending school,Connecticut,count,11000
2008,economic,teens not attending school,Connecticut,pct,6
2009,economic,teens not attending school,Connecticut,pct,6
2010,economic,teens not attending school,Connecticut,pct,5
2011,economic,teens not attending school,Connecticut,pct,7
2012,economic,teens not attending school,Connecticut,pct,5
2008,economic,teens not attending school,Connecticut,rank,8
2009,economic,teens not attending school,Connecticut,rank,2
2010,economic,teens not attending school,Connecticut,rank,3
2011,economic,teens not attending school,Connecticut,rank,12
2012,economic,teens not attending school,Connecticut,rank,3
2008,economic,spend >30% on housing,Delaware,count,81000
2009,economic,spend >30% on housing,Delaware,count,86000
2010,economic,spend >30% on housing,Delaware,count,82000
2011,economic,spend >30% on housing,Delaware,count,78000
2012,economic,spend >30% on housing,Delaware,count,76000
2008,economic,spend >30% on housing,Delaware,pct,39
2009,economic,spend >30% on housing,Delaware,pct,41
2010,economic,spend >30% on housing,Delaware,pct,40
2011,economic,spend >30% on housing,Delaware,pct,38
2012,economic,spend >30% on housing,Delaware,pct,37
2008,economic,spend >30% on housing,Delaware,rank,36
2009,economic,spend >30% on housing,Delaware,rank,36
2010,economic,spend >30% on housing,Delaware,rank,36
2011,economic,spend >30% on housing,Delaware,rank,32
2012,economic,spend >30% on housing,Delaware,rank,35
2008,economic,children in poverty,Delaware,count,28000
2009,economic,children in poverty,Delaware,count,34000
2010,economic,children in poverty,Delaware,count,37000
2011,economic,children in poverty,Delaware,count,35000
2012,economic,children in poverty,Delaware,count,35000
2008,economic,children in poverty,Delaware,pct,14
2009,economic,children in poverty,Delaware,pct,16
2010,economic,children in poverty,Delaware,pct,18
2011,economic,children in poverty,Delaware,pct,17
2012,economic,children in poverty,Delaware,pct,17
2008,economic,children in poverty,Delaware,rank,14
2009,economic,children in poverty,Delaware,rank,15
2010,economic,children in poverty,Delaware,rank,16
2011,economic,children in poverty,Delaware,rank,13
2012,economic,children in poverty,Delaware,rank,13
2008,economic,parents without full-time employment,Delaware,count,51000
2009,economic,parents without full-time employment,Delaware,count,59000
2010,economic,parents without full-time employment,Delaware,count,60000
2011,economic,parents without full-time employment,Delaware,count,61000
2012,economic,parents without full-time employment,Delaware,count,65000
2008,economic,parents without full-time employment,Delaware,pct,25
2009,economic,parents without full-time employment,Delaware,pct,28
2010,economic,parents without full-time employment,Delaware,pct,29
2011,economic,parents without full-time employment,Delaware,pct,30
2012,economic,parents without full-time employment,Delaware,pct,32
2008,economic,parents without full-time employment,Delaware,rank,16
2009,economic,parents without full-time employment,Delaware,rank,15
2010,economic,parents without full-time employment,Delaware,rank,14
2011,economic,parents without full-time employment,Delaware,rank,17
2012,economic,parents without full-time employment,Delaware,rank,28
2008,economic,teens not attending school,Delaware,count,4000
2009,economic,teens not attending school,Delaware,count,4000
2010,economic,teens not attending school,Delaware,count,5000
2011,economic,teens not attending school,Delaware,count,4000
2012,economic,teens not attending school,Delaware,count,4000
2008,economic,teens not attending school,Delaware,pct,9
2009,economic,teens not attending school,Delaware,pct,8
2010,economic,teens not attending school,Delaware,pct,9
2011,economic,teens not attending school,Delaware,pct,8
2012,economic,teens not attending school,Delaware,pct,8
2008,economic,teens not attending school,Delaware,rank,34
2009,economic,teens not attending school,Delaware,rank,16
2010,economic,teens not attending school,Delaware,rank,25
2011,economic,teens not attending school,Delaware,rank,20
2012,economic,teens not attending school,Delaware,rank,19
2008,economic,spend >30% on housing,District of Columbia,count,43000
2009,economic,spend >30% on housing,District of Columbia,count,53000
2010,economic,spend >30% on housing,District of Columbia,count,43000
2011,economic,spend >30% on housing,District of Columbia,count,47000
2012,economic,spend >30% on housing,District of Columbia,count,46000
2008,economic,spend >30% on housing,District of Columbia,pct,38
2009,economic,spend >30% on housing,District of Columbia,pct,47
2010,economic,spend >30% on housing,District of Columbia,pct,42
2011,economic,spend >30% on housing,District of Columbia,pct,44
2012,economic,spend >30% on housing,District of Columbia,pct,42
2008,economic,spend >30% on housing,District of Columbia,rank,0
2009,economic,spend >30% on housing,District of Columbia,rank,0
2010,economic,spend >30% on housing,District of Columbia,rank,0
2011,economic,spend >30% on housing,District of Columbia,rank,0
2012,economic,spend >30% on housing,District of Columbia,rank,0
2008,economic,children in poverty,District of Columbia,count,28000
2009,economic,children in poverty,District of Columbia,count,33000
2010,economic,children in poverty,District of Columbia,count,31000
2011,economic,children in poverty,District of Columbia,count,32000
2012,economic,children in poverty,District of Columbia,count,29000
2008,economic,children in poverty,District of Columbia,pct,26
2009,economic,children in poverty,District of Columbia,pct,29
2010,economic,children in poverty,District of Columbia,pct,30
2011,economic,children in poverty,District of Columbia,pct,30
2012,economic,children in poverty,District of Columbia,pct,27
2008,economic,children in poverty,District of Columbia,rank,0
2009,economic,children in poverty,District of Columbia,rank,0
2010,economic,children in poverty,District of Columbia,rank,0
2011,economic,children in poverty,District of Columbia,rank,0
2012,economic,children in poverty,District of Columbia,rank,0
2008,economic,parents without full-time employment,District of Columbia,count,46000
2009,economic,parents without full-time employment,District of Columbia,count,49000
2010,economic,parents without full-time employment,District of Columbia,count,44000
2011,economic,parents without full-time employment,District of Columbia,count,47000
2012,economic,parents without full-time employment,District of Columbia,count,43000
2008,economic,parents without full-time employment,District of Columbia,pct,41
2009,economic,parents without full-time employment,District of Columbia,pct,44
2010,economic,parents without full-time employment,District of Columbia,pct,44
2011,economic,parents without full-time employment,District of Columbia,pct,44
2012,economic,parents without full-time employment,District of Columbia,pct,39
2008,economic,parents without full-time employment,District of Columbia,rank,0
2009,economic,parents without full-time employment,District of Columbia,rank,0
2010,economic,parents without full-time employment,District of Columbia,rank,0
2011,economic,parents without full-time employment,District of Columbia,rank,0
2012,economic,parents without full-time employment,District of Columbia,rank,0
2008,economic,teens not attending school,District of Columbia,count,3000
2009,economic,teens not attending school,District of Columbia,count,4000
2010,economic,teens not attending school,District of Columbia,count,3000
2011,economic,teens not attending school,District of Columbia,count,4000
2012,economic,teens not attending school,District of Columbia,count,3000
2008,economic,teens not attending school,District of Columbia,pct,9
2009,economic,teens not attending school,District of Columbia,pct,10
2010,economic,teens not attending school,District of Columbia,pct,9
2011,economic,teens not attending school,District of Columbia,pct,12
